# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
13.0;6.5;14.98;7.55;2.2411827234743718
17.0;5.0;14.98;7.55;3.253136947624554
15.0;5.0;14.98;7.55;2.5500784301664132
12.5;6.5;14.98;7.55;2.6931208662070856
20.5;6.0;21.45;6.62;1.1344161493913945
8.0;9.0;21.45;6.62;13.658949447157346
6.5;3.25;21.45;6.62;15.325123164268533
20.5;7.5;21.45;6.62;1.29495173655237
14.5;7.0;21.45;6.62;6.960380736712611
16.5;1.75;21.84;5.16;6.335905617983904
14.5;1.25;21.84;5.16;8.316471607598983
22.5;3.5;21.84;5.16;1.7863930138690087
17.5;0.75;21.84;5.16;6.187382322113286
23.0;6.0;21.84;5.16;1.4322011031974526
8.0;-6.5;22.38;3.94;17.770143499701962
22.5;5.5;22.38;3.94;1.5646085772486358
24.0;4.0;22.38;3.94;1.6211107303327565
16.5;5.5;22.38;3.94;6.083420090705555
1.0;-8.75;22.38;3.94;24.862431498145952
20.5;7.5;22.3;6.36;2.130633708547765
20.5;7.5;22.3;6.36;2.130633708547765
19.0;6.5;22.3;6.36;3.302968361943542
15.5;8.0;22.3;6.36;6.994969621092004
17.5;6.5;22.3;6.36;4.802041232642636
1.0;-10.25;28.12;7.57;32.45068258141884
23.5;7.5;28.12;7.57;4.620530272598591
26.0;7.5;28.12;7.57;2.1211553455605285
16.5;3.25;28.12;7.57;12.397048035722053
16.5;3.25;28.12;7.57;12.397048035722053
1.5;-11.75;31.78;7.62;35.945448946980754
11.0;0.5;31.78;7.62;21.965946371599838
11.5;-2.0;31.78;7.62;22.445997416020525
21.0;3.75;31.78;7.62;11.453615149811872
1.0;-10.25;31.78;7.62;35.591365525924964
11.0;-3.0;32.16;7.08;23.438259321033204
9.0;-1.5;32.16;7.08;24.698218559240257
26.5;7.0;32.16;7.08;5.660565342790414
32.0;5.5;32.16;7.08;1.588080602488425
19.5;3.25;32.16;7.08;13.226658686153502
32.0;5.0;32.68;3.48;1.6651726637198918
1.0;2.0;32.68;3.48;31.714551865035077
29.0;5.0;32.68;3.48;3.981557484201377
1.0;-11.75;32.68;3.48;35.1507510588323
