# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
-7.0;-9.25;-2.05;-11.1;5.28441103624614
32.0;5.0;-2.05;-11.1;37.66447264996551
27.5;3.5;-2.05;-11.1;32.960013652909794
21.5;5.0;-2.05;-11.1;28.527399110329004
-8.5;-9.25;-0.95;-9.95;7.582380892569299
21.5;5.0;-0.95;-9.95;26.972300606362815
27.5;3.5;-0.95;-9.95;31.469111840024972
32.0;6.5;-0.95;-9.95;36.82804637772686
24.5;3.5;-0.95;-9.95;28.78549982195897
27.5;3.5;0.85;-18.55;34.58937698195791
32.0;5.0;0.85;-18.55;39.0502880911268
24.5;3.5;0.85;-18.55;32.33457901380502
32.0;5.0;0.85;-18.55;39.0502880911268
23.0;6.5;0.85;-18.55;33.43837615674541
32.0;5.0;1.15;-15.15;36.84759150880828
32.0;6.5;1.15;-15.15;37.68879143724298
32.0;6.5;1.15;-15.15;37.68879143724298
27.5;3.5;1.15;-15.15;32.282270676022776
27.5;3.5;1.15;-15.15;32.282270676022776
27.5;3.5;0.75;-13.05;31.455762588117302
27.5;3.5;0.75;-13.05;31.455762588117302
32.0;5.0;0.75;-13.05;36.088294501125986
0.5;-15.25;0.75;-13.05;2.2141589825484522
32.0;5.0;0.75;-13.05;36.088294501125986
32.0;6.5;1.55;-11.95;35.603440844952054
21.5;5.0;1.55;-11.95;26.178330733643044
23.0;6.5;1.55;-11.95;28.293197062191467
30.5;3.5;1.55;-11.95;32.814707068630064
27.5;3.5;1.55;-11.95;30.20107613976694
32.0;5.0;1.2;-9.05;33.853249474755
32.0;5.0;1.2;-9.05;33.853249474755
32.0;5.0;1.2;-9.05;33.853249474755
30.5;3.5;1.2;-9.05;31.874637252837875
32.0;5.0;1.2;-9.05;33.853249474755
30.5;3.5;1.65;-6.3;30.469041665270673
24.5;3.5;1.65;-6.3;24.862873928812014
30.5;3.5;1.65;-6.3;30.469041665270673
32.0;5.0;1.65;-6.3;32.3853747855417
30.5;3.5;1.65;-6.3;30.469041665270673
23.0;6.5;1.2;-3.7;24.06823632923692
32.0;8.0;1.2;-3.7;32.94738229359049
23.0;8.0;1.2;-3.7;24.741261083461367
23.0;3.5;1.2;-3.7;22.958222927744213
30.5;3.5;1.2;-3.7;30.17167545894659
21.5;5.0;1.85;-2.25;20.944808425956058
21.5;5.0;1.85;-2.25;20.944808425956058
20.0;8.0;1.85;-2.25;20.844303778250787
24.5;5.0;1.85;-2.25;23.782031031852597
21.5;5.0;1.85;-2.25;20.944808425956058
32.0;8.0;1.71;1.81;30.91601850174113
30.5;8.0;1.71;1.81;29.447923526116405
32.0;8.0;1.71;1.81;30.91601850174113
32.0;8.0;1.71;1.81;30.91601850174113
32.0;8.0;1.71;1.81;30.91601850174113
0.5;6.5;2.02;7.45;1.7924564150907547
-16.0;-9.25;2.02;7.45;24.56848387670676
11.0;8.0;2.02;7.45;8.996827218525429
30.5;3.5;2.02;7.45;28.75261553319976
21.5;5.0;2.02;7.45;19.633463779985437
21.5;6.5;2.49;7.6;19.041798759571005
0.5;9.5;2.49;7.6;2.75138147118861
2.0;11.0;2.49;7.6;3.4351273629954395
24.5;5.0;2.49;7.6;22.16303453952098
2.0;5.0;2.49;7.6;2.6457702092207476
2.0;11.0;1.52;9.32;1.7472263734273241
0.5;3.5;1.52;9.32;5.908705441972886
12.5;8.0;1.52;9.32;11.059059634525894
2.0;2.0;1.52;9.32;7.335720823477405
2.0;11.0;1.52;9.32;1.7472263734273241
32.0;5.0;0.78;10.94;31.78005663934537
0.5;9.5;0.78;10.94;1.4669696656713793
5.0;8.0;0.78;10.94;5.143150785267723
21.5;5.0;0.78;10.94;21.554628273296665
0.5;9.5;0.78;10.94;1.4669696656713793
24.5;5.0;1.39;6.61;23.166013899676393
24.5;5.0;1.39;6.61;23.166013899676393
29.0;8.0;1.39;6.61;27.64496699220312
0.5;5.0;1.39;6.61;1.8396195258802839
20.0;8.0;1.39;6.61;18.661838065956953
12.5;5.0;4.51;7.63;8.41171801714727
11.0;6.5;4.51;7.63;6.587639941587579
11.0;6.5;4.51;7.63;6.587639941587579
8.0;8.0;4.51;7.63;3.509558376776201
3.5;8.0;4.51;7.63;1.0756393447619883
11.0;8.0;6.0;7.88;5.001439792699698
9.5;6.5;6.0;7.88;3.7622333792575917
11.0;8.0;6.0;7.88;5.001439792699698
12.5;8.0;6.0;7.88;6.501107597940523
11.0;6.5;6.0;7.88;5.186945151049893
11.0;6.5;9.08;7.24;2.057668583615933
12.5;8.0;9.08;7.24;3.503426893771297
9.5;6.5;9.08;7.24;0.850881895447306
11.0;6.5;9.08;7.24;2.057668583615933
9.5;6.5;9.08;7.24;0.850881895447306
9.5;3.5;10.62;3.87;1.1795338062132845
15.5;8.0;10.62;3.87;6.393066556825449
11.0;3.5;10.62;3.87;0.5303772242470454
11.0;6.5;10.62;3.87;2.6573106705840774
12.5;6.5;10.62;3.87;3.2328470424689137
9.5;6.5;10.99;7.19;1.6420109622045773
9.5;3.5;10.99;7.19;3.979472326829275
12.5;8.0;10.99;7.19;1.7135343591536176
-20.5;-9.25;10.99;7.19;35.52314316048061
11.0;6.5;10.99;7.19;0.6900724599634451
11.0;8.0;11.76;7.76;0.7969943538068509
9.5;6.5;11.76;7.76;2.5875084540924687
3.5;8.0;11.76;7.76;8.263485947225904
9.5;5.0;11.76;7.76;3.5672398293358407
12.5;6.5;11.76;7.76;1.4612323566086263
24.5;5.0;11.39;5.0;13.11
12.5;8.0;11.39;5.0;3.1987653868328634
9.5;6.5;11.39;5.0;2.412902816111748
11.0;5.0;11.39;5.0;0.39000000000000057
11.0;8.0;11.39;5.0;3.025243791829016
14.0;8.0;12.95;5.25;2.943637205907005
11.0;6.5;12.95;5.25;2.316246964380093
9.5;3.5;12.95;5.25;3.868462226776939
12.5;6.5;12.95;5.25;1.328533025558642
11.0;6.5;12.95;5.25;2.316246964380093
11.0;6.5;13.46;7.85;2.806082678753426
11.0;6.5;13.46;7.85;2.806082678753426
14.0;3.5;13.46;7.85;4.3833890997720015
9.5;6.5;13.46;7.85;4.183790147701006
9.5;6.5;13.46;7.85;4.183790147701006
11.0;6.5;14.98;7.55;4.1161754092846925
9.5;6.5;14.98;7.55;5.57968637111442
20.0;8.0;14.98;7.55;5.0401289666039295
12.5;8.0;14.98;7.55;2.5204959829366924
27.5;8.0;14.98;7.55;12.528084450545501
0.5;-10.75;21.45;6.62;27.21432343454454
0.5;-3.25;21.45;6.62;23.158570767644534
0.5;-10.75;21.45;6.62;27.21432343454454
21.5;6.5;21.45;6.62;0.13000000000000037
2.0;2.0;21.45;6.62;19.991170551020765
2.0;-16.75;21.84;5.16;29.557971851938692
0.5;-10.75;21.84;5.16;26.61810849778774
24.5;3.5;21.84;5.16;3.135474445757771
-16.0;-9.25;21.84;5.16;40.49090885618648
2.0;12.5;21.84;5.16;21.15422416445472
2.0;-7.75;22.38;3.94;23.494690889645682
0.5;-10.75;22.38;3.94;26.353946573521014
26.0;6.5;22.38;3.94;4.433734317705563
2.0;11.0;22.38;3.94;21.5682173579552
0.5;-10.75;22.38;3.94;26.353946573521014
-16.0;-9.25;22.3;6.36;41.35894220117338
21.5;6.5;22.3;6.36;0.8121576201698788
21.5;3.5;22.3;6.36;2.969781136716981
21.5;3.5;22.3;6.36;2.969781136716981
17.0;8.0;22.3;6.36;5.547936553350264
0.5;-10.75;28.12;7.57;33.143427704448435
0.5;-10.75;28.12;7.57;33.143427704448435
0.5;-10.75;28.12;7.57;33.143427704448435
0.5;-18.25;28.12;7.57;37.809215807789506
0.5;-4.75;28.12;7.57;30.243128145084462
29.0;8.0;31.78;7.62;2.8058510295452264
0.5;-10.75;31.78;7.62;36.27527119126748
2.0;-6.25;31.78;7.62;32.851564650713364
0.5;-1.75;31.78;7.62;32.65325864289811
0.5;9.5;31.78;7.62;31.33644523554004
0.5;9.5;32.16;7.08;31.75235424342579
0.5;3.5;32.16;7.08;31.861763918527796
32.0;8.0;32.16;7.08;0.9338094023942995
0.5;3.5;32.16;7.08;31.861763918527796
0.5;9.5;32.16;7.08;31.75235424342579
0.5;-10.75;32.68;3.48;35.18586790175851
2.0;12.5;32.68;3.48;31.97847400987108
0.5;-4.75;32.68;3.48;33.21573873933861
-16.0;-9.25;32.68;3.48;50.31694843688357
0.5;-10.75;32.68;3.48;35.18586790175851
26.0;3.5;23.5;4.22;2.60161488310626
23.0;3.5;23.5;4.22;0.8765842800324448
26.0;5.0;23.5;4.22;2.618854711510358
26.0;8.0;23.5;4.22;4.531931155699522
21.5;6.5;23.5;4.22;3.0328864139627782
2.0;-6.25;25.23;7.78;27.13805077746005
23.0;8.0;25.23;7.78;2.24082574065901
-16.0;-9.25;25.23;7.78;44.60867404440531
26.0;8.0;25.23;7.78;0.8008120878208566
21.5;6.5;25.23;7.78;3.943513661698157
27.5;3.5;-23.9;-9.65;53.05546625937803
27.5;3.5;-23.9;-9.65;53.05546625937803
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-16.0;-10.75;-23.0;-10.55;7.002856560004639
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
27.5;3.5;-19.65;-10.7;49.24187750279227
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
-23.5;-10.75;-17.35;-11.2;6.166441437328339
27.5;3.5;-17.35;-11.2;47.19758998084542
32.0;5.0;-17.35;-11.2;51.94095205134384
-20.5;-10.75;-17.35;-11.2;3.181980515339462
-23.5;-10.75;-17.35;-11.2;6.166441437328339
27.5;3.5;-15.5;-9.6;44.95119575717647
-16.0;-10.75;-15.5;-9.6;1.2539936203984456
27.5;3.5;-15.5;-9.6;44.95119575717647
-17.5;-9.25;-15.5;-9.6;2.0303940504246953
-20.5;-10.75;-15.5;-9.6;5.130545779934139
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-2.5;-10.75;-12.9;-10.5;10.403004373737426
32.0;5.0;-12.9;-10.5;47.500105263041256
27.5;3.5;-12.9;-10.5;42.75698773300102
-13.0;-10.75;-10.55;-9.9;2.593260495977987
27.5;3.5;-10.55;-9.9;40.340581304686225
-11.5;-9.25;-10.55;-9.9;1.1510864433221335
-14.5;-10.75;-10.55;-9.9;4.040420770167383
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-4.0;-9.25;-9.2;-10.75;5.412023651093922
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-14.5;-10.75;-9.2;-10.75;5.300000000000001
-11.5;-10.75;-9.2;-10.75;2.3000000000000007
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
27.5;8.0;-6.35;-10.2;38.43257082215552
27.5;8.0;-6.35;-10.2;38.43257082215552
2.0;-18.25;-6.35;-10.2;11.598491281196878
27.5;3.5;-6.35;-10.2;36.51729042522186
0.5;-15.25;-6.35;-10.2;8.510287891722582
-4.0;-9.25;-4.1;-9.9;0.6576473218982956
2.0;-18.25;-4.1;-9.9;10.340817182408747
-5.5;-9.25;-4.1;-9.9;1.5435349040433137
-5.5;-10.75;-4.1;-9.9;1.6378339354159202
32.0;5.0;-4.1;-9.9;39.054065089309205
27.5;8.0;-2.05;-11.1;35.185401802452105
20.0;3.5;-2.05;-11.1;26.44546274883463
32.0;6.5;-2.05;-11.1;38.32965562068097
32.0;5.0;-2.05;-11.1;37.66447264996551
2.0;-4.75;-2.05;-11.1;7.531600095597216
32.0;5.0;-0.95;-9.95;36.182937968053395
32.0;5.0;-0.95;-9.95;36.182937968053395
32.0;5.0;-0.95;-9.95;36.182937968053395
-8.5;-9.25;-0.95;-9.95;7.582380892569299
32.0;6.5;-0.95;-9.95;36.82804637772686
32.0;5.0;0.85;-18.55;39.0502880911268
32.0;5.0;0.85;-18.55;39.0502880911268
32.0;5.0;0.85;-18.55;39.0502880911268
20.0;3.5;0.85;-18.55;29.204879729250727
30.5;3.5;0.85;-18.55;36.95030446423954
26.0;5.0;1.15;-15.15;31.992889835086796
29.0;3.5;1.15;-15.15;33.51783107541417
32.0;5.0;1.15;-15.15;36.84759150880828
20.0;3.5;1.15;-15.15;26.516881415430436
-5.5;-10.75;1.15;-15.15;7.9738635553914525
32.0;5.0;0.75;-13.05;36.088294501125986
30.5;3.5;0.75;-13.05;34.043575017909035
30.5;3.5;0.75;-13.05;34.043575017909035
32.0;5.0;0.75;-13.05;36.088294501125986
32.0;5.0;0.75;-13.05;36.088294501125986
23.0;3.5;1.55;-11.95;26.434920086885075
30.5;3.5;1.55;-11.95;32.814707068630064
27.5;3.5;1.55;-11.95;30.20107613976694
30.5;3.5;1.55;-11.95;32.814707068630064
